iter	Passed	Remaining
0	1	133
1	2	124
2	3	119
3	4	110
4	5	112
5	7	112
6	8	110
7	9	111
8	11	114
9	13	117
10	14	117
11	15	115
12	17	114
13	18	112
14	19	111
15	21	111
16	22	109
17	23	107
18	25	108
19	26	106
20	28	106
21	31	111
22	33	111
23	34	110
24	36	109
25	38	109
26	40	108
27	42	109
28	44	109
29	46	107
30	47	106
31	49	104
32	50	103
33	52	102
34	55	103
35	58	103
36	59	101
37	61	99
38	62	98
39	64	96
40	66	95
41	67	92
42	68	90
43	70	89
44	72	88
45	73	86
46	75	85
47	77	83
48	78	81
49	80	80
50	81	78
51	83	77
52	85	75
53	87	74
54	88	72
55	89	70
56	91	68
57	93	67
58	94	65
59	96	64
60	97	62
61	101	62
62	102	60
63	104	58
64	105	57
65	107	55
66	109	53
67	111	52
68	113	50
69	114	49
70	116	47
71	118	46
72	120	44
73	121	42
74	123	41
75	125	39
76	127	37
77	128	36
78	131	35
79	133	33
80	135	31
81	137	30
82	138	28
83	141	26
84	142	25
85	143	23
86	145	21
87	147	20
88	148	18
89	149	16
90	151	14
91	152	13
92	154	11
93	156	9
94	157	8
95	161	6
96	162	5
97	165	3
98	167	1
99	169	0
