iter	Passed	Remaining
0	136	136208
1	137	68390
2	137	45750
3	138	34422
4	138	27628
5	139	23095
6	140	19895
7	141	17496
8	142	15650
9	142	14156
10	144	13014
11	145	11988
12	146	11125
13	147	10366
14	147	9704
15	148	9121
16	148	8609
17	149	8151
18	149	7740
19	150	7370
20	150	7036
21	151	6731
22	151	6453
23	152	6208
24	153	5984
25	154	5769
26	154	5572
27	155	5389
28	155	5215
29	156	5051
30	156	4899
31	157	4756
32	157	4622
33	158	4495
34	158	4382
35	159	4271
36	160	4165
37	160	4066
38	161	3970
39	161	3879
40	162	3793
41	162	3711
42	163	3632
43	163	3558
44	164	3485
45	164	3419
46	165	3356
47	166	3293
48	166	3233
49	167	3176
50	167	3120
51	168	3075
52	169	3024
53	169	2974
54	170	2925
55	170	2882
56	171	2843
57	172	2801
58	173	2761
59	173	2721
60	174	2682
61	174	2646
62	175	2609
63	175	2573
64	176	2538
65	177	2513
66	178	2483
67	178	2451
68	179	2421
69	180	2392
70	180	2362
71	181	2333
72	181	2305
73	182	2279
74	182	2253
75	184	2247
76	185	2224
77	186	2202
78	187	2180
79	188	2165
80	189	2150
81	190	2130
82	194	2149
83	195	2132
84	196	2113
85	197	2098
86	198	2081
87	199	2064
88	200	2047
89	200	2031
90	201	2015
91	202	1999
92	203	1987
93	204	1973
94	205	1958
95	206	1944
96	207	1929
97	208	1915
98	208	1901
99	210	1892
100	211	1879
101	211	1866
102	212	1853
103	213	1840
104	220	1877
105	220	1863
106	221	1848
107	222	1834
108	223	1826
109	224	1812
110	224	1800
111	225	1787
112	226	1775
113	226	1762
114	227	1749
115	228	1737
116	228	1725
117	236	1766
118	237	1754
119	237	1743
120	238	1732
121	239	1721
122	239	1709
123	240	1698
124	241	1688
125	242	1678
126	242	1667
127	243	1656
128	243	1645
129	244	1634
130	244	1624
131	245	1613
132	245	1603
133	246	1592
134	247	1584
135	247	1574
136	248	1565
137	249	1555
138	249	1545
139	250	1536
140	250	1526
141	250	1516
142	251	1507
143	252	1498
144	252	1488
145	253	1480
146	253	1472
147	254	1464
148	254	1455
149	255	1447
150	255	1439
151	256	1430
152	257	1423
153	257	1415
154	258	1407
155	258	1399
156	259	1392
157	260	1386
158	260	1379
159	261	1372
160	261	1364
161	262	1357
162	262	1350
163	263	1343
164	264	1336
165	264	1329
166	265	1322
167	265	1317
168	266	1311
169	267	1305
170	267	1299
171	268	1292
172	269	1286
173	269	1279
174	270	1273
175	270	1267
176	271	1260
177	271	1255
178	272	1250
179	273	1244
180	273	1238
181	274	1233
182	274	1227
183	275	1221
184	276	1216
185	276	1210
186	277	1204
187	277	1200
188	278	1195
189	279	1190
190	280	1186
191	280	1181
192	281	1176
193	282	1171
194	282	1167
195	283	1164
196	284	1160
197	285	1156
198	286	1152
199	286	1147
200	287	1143
201	288	1138
202	288	1134
203	289	1131
204	290	1127
205	291	1123
206	292	1118
207	292	1114
208	293	1109
209	293	1105
210	294	1100
211	294	1096
212	295	1092
213	296	1087
214	296	1083
215	297	1079
216	297	1074
217	298	1070
218	298	1065
219	299	1061
220	299	1057
221	300	1052
222	300	1048
223	301	1044
224	302	1040
225	302	1036
226	303	1032
227	303	1029
228	304	1025
229	305	1021
230	305	1017
231	306	1013
232	306	1009
233	307	1005
234	307	1001
235	308	998
236	309	994
237	309	991
238	310	987
239	310	984
240	311	980
241	311	976
242	312	972
243	312	969
244	313	965
245	313	962
246	314	958
247	314	955
248	315	951
249	316	948
250	316	944
251	317	941
252	317	938
253	318	934
254	318	931
255	319	927
256	319	924
257	320	921
258	321	918
259	321	915
260	322	912
261	322	909
262	323	906
263	323	902
264	324	899
265	324	896
266	325	893
267	325	889
268	326	887
269	327	884
270	327	882
271	328	879
272	329	876
273	329	873
274	330	870
275	330	867
276	331	864
277	331	861
278	332	858
279	332	856
280	333	853
281	334	850
282	334	848
283	335	845
284	335	842
285	336	839
286	336	836
287	337	833
288	337	830
289	338	828
290	338	825
291	339	822
292	339	820
293	340	817
294	341	814
295	341	812
296	342	809
297	342	807
298	343	804
299	343	801
300	344	799
301	344	796
302	345	794
303	345	791
304	346	789
305	346	786
306	347	784
307	348	781
308	348	779
309	349	776
310	349	774
311	349	771
312	350	769
313	351	766
314	351	764
315	352	762
316	352	760
317	353	758
318	353	755
319	354	753
320	354	750
321	355	748
322	355	746
323	356	743
324	356	741
325	357	739
326	358	738
327	359	735
328	359	733
329	360	732
330	361	730
331	361	727
332	362	725
333	362	723
334	364	722
335	364	720
336	365	719
337	366	717
338	366	714
339	367	712
340	367	710
341	368	708
342	368	706
343	369	704
344	370	702
345	370	700
346	371	698
347	371	696
348	372	694
349	372	692
350	373	690
351	374	688
352	374	687
353	375	685
354	376	684
355	377	682
356	377	680
357	378	678
358	378	676
359	379	674
360	379	672
361	380	670
362	380	668
363	381	666
364	382	665
365	383	663
366	383	661
367	384	659
368	384	657
369	385	655
370	385	654
371	386	652
372	386	650
373	387	648
374	387	646
375	388	644
376	389	643
377	389	641
378	390	639
379	390	637
380	391	635
381	391	633
382	392	632
383	392	630
384	393	628
385	394	626
386	394	625
387	395	623
388	395	621
389	396	619
390	396	618
391	397	616
392	397	614
393	398	612
394	398	611
395	399	609
396	399	607
397	401	606
398	402	605
399	402	604
400	403	602
401	403	600
402	404	599
403	405	597
404	405	595
405	406	594
406	407	593
407	408	592
408	408	590
409	409	589
410	410	587
411	410	585
412	411	584
413	411	582
414	412	581
415	412	579
416	413	578
417	414	576
418	414	574
419	415	573
420	415	572
421	416	570
422	417	568
423	417	567
424	418	565
425	419	564
426	419	563
427	420	561
428	420	560
429	421	558
430	421	557
431	422	555
432	422	553
433	423	552
434	424	550
435	425	549
436	425	548
437	426	546
438	426	545
439	427	543
440	427	542
441	428	540
442	428	539
443	429	537
444	429	536
445	430	535
446	431	533
447	432	532
448	432	531
449	433	529
450	433	528
451	434	526
452	434	525
453	435	523
454	435	522
455	436	520
456	437	519
457	437	517
458	438	516
459	438	514
460	439	513
461	439	512
462	440	510
463	440	509
464	441	507
465	441	506
466	442	504
467	442	503
468	443	502
469	444	500
470	444	499
471	445	497
472	445	496
473	446	495
474	446	493
475	447	492
476	447	490
477	448	489
478	448	488
479	449	487
480	450	485
481	450	484
482	451	483
483	451	481
484	452	480
485	452	479
486	453	477
487	453	476
488	454	474
489	455	473
490	455	472
491	456	471
492	456	469
493	457	468
494	457	467
495	458	465
496	458	464
497	459	463
498	460	461
499	460	460
500	461	459
501	461	458
